"80 km SSE of Grande Prairie, AB",2019-12-30,4.0,54.48,['118.4']
"198 km W   of Port Hardy, BC",2019-12-25,4.9,50.86,['130.3']
"153 km W   of Port Alice, BC",2019-12-25,3.6,50.41,['129.6']
"188 km W   of Port Hardy, BC",2019-12-24,6.2,50.49,['130.1']
"29 km WSW of Village of Queen Charlotte, BC",2019-12-23,4.3,53.13,['132.4']
"168 km W   of Port Hardy, BC",2019-12-23,4.8,50.64,['129.8']
"186 km W   of Port Alice, BC",2019-12-23,6.0,50.34,['130.0']
"178 km W   of Port Hardy, BC",2019-12-23,5.8,50.56,['130.0']
"185 km W   of Port Alice, BC",2019-12-23,5.6,50.41,['130.0']
"162 km W   of Port Hardy, BC",2019-12-23,5.1,50.5 ,['129.7']
"10 km SW  of Cornwall, ON",2019-12-17,2.9,44.96,['74.82']
"28 km WSW of Amos, QC",2019-12-14,3.3,48.42,['78.43']
"14 km N   of Wiarton, ON",2019-12-13,2.1,44.88,['81.17']
"31 km SW of Amos, QC",2019-12-10,3.0,48.33,['78.35']
"28 km NE  of Sept-Iles, QC ",2019-12-01,2.9,50.39,['66.12']
"98 km WNW of Fort St. John, BC",2019-11-30,3.8,56.8 ,['122.1']
"14 km SSW of Penticton, BC",2019-11-28,2.2,49.37,['119.6']
"159 km W   of Arctic Bay, NU",2019-11-20,4.6,72.76,['89.94']
"17 km SW  of La Baie, QC ",2019-11-14,3.5,48.21,['70.99']
"13 km SSE of La Baie, QC ",2019-11-12,3.4,48.23,['70.83']
"54 km S   of Village of Queen Charlotte, BC",2019-11-09,4.6,52.77,['132.1']
"23 km N   of Saint-Pascal, QC",2019-11-02,3.1,47.74,['69.85']
"174 km WNW of Sitka, AK",2019-10-12,4.4,58.1 ,['137.5']
"105 km W   of Nahanni Butte, NT",2019-09-26,4.0,60.96,['125.3']
"73 km WNW of Yakutat, AK",2019-09-07,4.5,60.07,['140.6']
"73 km WNW of Yakutat, AK",2019-09-06,4.5,60.07,['140.6']
"104 km WSW of Skagway, AK",2019-08-31,5.0,59.08,['136.9']
"74 km SW  of Fort McPherson, NT",2019-08-31,3.7,66.8 ,['135.3']
"13 km NNW of La Pocatiere, QC",2019-08-31,3.1,47.48,['70.08']
"100 km WSW of Skagway, AK",2019-08-29,4.0,59.1 ,['136.9']
"10 km NW  of Saint-Jean-Port-Joli, QC",2019-08-29,3.7,47.29,['70.36']
"24 km E   of Esterhazy, SK",2019-08-15,4.1,50.6 ,['101.7']
"15 km SW  of La Malbaie, QC",2019-08-08,3.0,47.52,['70.24']
"173 km WNW of Sitka, AK",2019-08-05,4.0,57.96,['137.6']
"166 km W   of Port Hardy, BC",2019-08-02,4.3,50.49,['129.8']
"15 km WNW of Petit Rocher, NB",2019-07-15,3.4,47.84,['65.91']
"15 km WNW of Petit Rocher, NB",2019-07-15,3.7,47.84,['65.92']
"91 km NNW of Maniwaki, QC",2019-07-13,4.1,47.16,['76.36']
"229 km WSW of Bella Bella, BC",2019-07-05,5.6,51.03,['130.9']
"211 km WSW of Bella Bella, BC",2019-07-03,6.3,51.15,['130.7']
"11 km ENE of La Malbaie, QC",2019-06-27,2.8,47.69,['70.01']
"107 km NNW of Nahanni Butte, NT",2019-06-13,4.2,61.97,['123.9']
"189 km W   of Port Alice, BC",2019-04-22,5.3,50.2 ,['130.1']
"166 km W   of Port Alice, BC",2019-04-22,4.6,50.4 ,['129.8']
"93 km WNW of Fort Good Hope, NT",2019-03-21,4.3,66.68,['130.4']
"92 km WNW of Fort Good Hope, NT",2019-03-21,4.5,66.71,['130.3']
"Blast - 6 km ENE of Sudbury, ON",2019-03-18,1.8,46.52,['80.92']
"32 km NW  of Rocky Mountain House, AB ",2019-03-10,4.3,52.62,['115.1']
"197 km W   of Ketchikan, AK",2019-03-09,4.8,55.08,['134.7']
"11 km WSW of Miramichi, NB",2019-03-06,3.0,46.97,['65.61']
"19 km W   of Red Deer, AB",2019-03-04,4.6,52.22,['114.0']
"4 km NE  of Salmon Arm, BC",2019-03-02,2.2,50.73,['119.2']
"81 km NNW of Matagami, QC",2019-02-22,3.2,50.47,['77.8']
"183 km W   of Port Hardy, BC",2019-02-13,4.0,50.84,['130.1']
"198 km W   of Port Hardy, BC",2019-02-13,5.1,50.55,['130.3']
"188 km W   of Port Hardy, BC",2019-02-13,4.1,50.78,['130.1']
"202 km W   of Port Hardy, BC",2019-02-13,4.3,50.78,['130.1']
"195 km W   of Port Hardy, BC",2019-02-10,4.3,50.57,['130.2']
"3 km NW  of Lively, ON ",2019-02-08,3.6,46.46,['81.17']
"13 km ENE of Sudbury, ON",2019-02-06,2.9,46.57,['80.86']
"16 km NE  of Baie-Saint-Paul, QC",2019-02-03,2.7,47.58,['70.39']
"23 km SE  of Maniwaki, QC",2019-01-27,3.3,46.23,['75.76']
"34 km SSE of Victoria, BC",2019-01-16,2.6,48.13,['123.2']
"178 km W   of Port Hardy, BC",2019-01-16,4.1,50.87,['130.0']
"10 km NE  of Victoria, BC",2019-01-16,1.8,48.51,['123.2']
"19 km WNW of Saint John, NB",2019-01-10,3.8,45.36,['66.24']
"208 km ESE of Pond Inlet, NU",2019-01-06,3.9,71.22,['74.26']
"33 km W   of Sheldrake, QC",2019-01-03,3.1,50.18,['65.35']
